"KEY","VALUE"
"Crataegus monogyna",92876
"Crepis capillaris",93023
"Crepis foetida",93045
"Crepis setosa",93134
"Crepis vesicaria",93157
"Cynodon dactylon",93803
"Cynosurus cristatus",93860
"Cyperus longus",93967
"Cytisus scoparius",94164
"Dactylis glomerata",94207
"Daucus carota",94503
"Dipsacus fullonum",95149
"Echinochloa crus-galli",95671
"Echium vulgare",95793
"Elymus caninus",95992
"Elymus repens",96011
"Elytrigia acuta",96025
"Elytrigia campestris",96029
"Elytrigia repens",96046
"Epilobium ciliatum",96149
"Epilobium hirsutum",96180
"Epilobium tetragonum",96271
"Epipactis helleborine",96447
"Equisetum arvense",96508
"Erigeron sumatrensis",96814
"Erodium ciconium",96894
"Eryngium campestre",97141
"Eupatorium cannabinum",97434
"fallopia japonica",97964
"Festuca arundinacea",98078
"Festuca ovina",98425
"Festuca rubens",98510
"Foeniculum vulgare",98756
"Fragaria vesca",98865
"Fraxinus excelsior",98921
"Galega officinalis",99260
"Galium aparine",99373
"galium asparine",99373
"Galium mollugo",99473
"Galium odoratum",99488
"Galium saxatile",99529
"Galium verum",99582
"Geranium columbinum",100045
"Geranium dissectum",100052
"Geranium molle",100104
"Geranium pratense",100128
"Geranium pusillum",100133
"Geranium pyrenaicum",100136
"Geranium sanguineum",100149
"Geum urbanum",100225
"Glechoma hederacea",100310
"Hedera helix",100787
"Helminthotheca echioides",101210
"berce des prés",101300
"Heracleum sphondylium",101300
"Himantoglossum hircinum",102797
"Hirschfeldia incana",102876
"Holcus lanatus",102900
"Hordeum murinum",102974
"Orge des rats ? ",102974
"Hyacinthoides non-scripta",103057
"Hypericum hirsutum",103287
"Hypericum maculatum",103298
"Hypericum mutilum",103302
"Hypericum perfoliatum",103315
"Hypericum perforatum",103316
"Hypochaeris radicata",103375
"Iris pseudacorus",103772
"Juglans regia",104076
"Juncus effusus",104173
"Juncus tenuis",104353
"Knautia arvensis",104516
"Lactuca serriola",104775
"Lamium album",104854
"Lathyrus pratensis",105247
"Lathyrus tuberosus",105273
"Leontodon autumnalis",105480
"Lepidium draba",105621
"Leucanthemum vulgare",105817
"Linaria vulgaris",106234
"Linum angustifolium",106277
"Linum catharticum",106288
"Lolium perenne",106499
"Lotus angustissimus",106634
"Lotus corniculatus",106653
"Lysimachia nummularia",107073
"Lythrum salicaria",107117
"Malva moschata",107282
"Malva sylvestris",107318
"Matricaria perforata",107470
"Medicago arabica",107574
"Medicago lupulina",107649
"Medicago sativa",107711
"Melilotus albus",107886
"Mentha arvensis",108029
"Mentha suaveolens",108168
"Meum athamanticum",108454
"Mirabilis jalapa",108628
"Myosotis arvensis",108996
"Myosotis ramosissima",109084
"Odontites vernus",109845
"Onobrychis viciifolia",110139
"Ononis spinosa",110236
"Ophrys apifera",110335
"Origanum vulgare",111289
"Ornithopus perpusillus",111419
"Orobanche amethystea",111454
"Orobanche artemisii-campestris",111464
"Orobanche minor",111614
"Orobanche picridis",111628
"Oxalis stricta",111921
"Papaver rhoeas",112355
"Parthenocissus inser",112463
"Pastinaca sativa",112550
"Persicaria lapathifolia",112741
"Persicaria maculosa",112745
"phleum bulbosus",113186
"Phleum pratense",113221
"picris echinoides",113469
"Picris echioides",113469
"Picris hieracioides",113474
"Pilosella officinarum",113525
"Pimpinella saxifraga",113596
"Pinus nigra",113683
"Piptatherum micelianum",113723
"Plantago coronopus",113842
"Plantago lanceolata",113893
"Plantago major",113904
"Plantago media",113906
"Poa annua",114114
"Poa pratense",114332
"Poa pratensis",114332
"Poa trivialis",114416
"Polygala vulgaris",114595
"Polygonum aviculare",114658
"Polygonum persicaria",114822
"Potentilla argentea",115407
"Potentilla reptans",115624
"Poterium sanguisorba",115789
"Primula elatior",115865
"Primula officinalis",115900
"Primula veris",115918
"Primula vulgaris",115925
"Prunella vulgaris",116012
"Prunus avium",116043
"Prunus spinosa",116142
"Quercus robur",116759
"Ranunculus acris",116903
"Ranunculus auricomus",116936
"Ranunculus bulbosus",116952
"Ranunculus repens",117201
"Reseda crispa",117437
"Reseda lutea",117458
"Rosa canina",118073
"Rubus caesius",118993
"Rubus fruticosus",119097
"Rumex acetosa",119418
"Rumex acetosella",119419
"Rumex conglomeratus",119471
"Rumex crispus",119473
"Rumex obtusifolius",119550
"Sagina apetala",119780
"Salix alba",119915
"Salvia pratensis",120685
"Sambucus ebulus",120712
"Sanguisorba minor",120753
"Saponaria officinalis",120824
"Scabiosa columbaria",121334
"Festuca pratensis",121479
"Schedonorus pratensis",121479
"securigera varia",122098
"Senecio inaequidens",122630
"Senecio jacobaea",122636
"Senecio jacobea",122636
"Senecio squalidus",122723
"Senecio sylvaticus",122726
"Senecio vulgaris",122745
"Silene baccifera",123401
"Silene latifolia",123522
"Silene vulgaris",123683
"Sinapis arvensis",123713
"Solanum dulcamara",124034
"Solanum nigrum",124080
"Solidago canadensis",124164
"Sonchus arvensis",124232
"laitron rude",124233
"Sonchus asper",124233
"Sonchus oleraceus",124261
"Stachys recta",124805
"Stellaria graminea",125000
"Symphytum officinale",125355
"Tanacetum vulgare",125474
"Teucrium scorodonia",126035
"Torilis arvensis",126846
"Torilis japonica",126859
"Torilis nodosa",126865
"Tragopogon pratensis",127029
"Trifolium arvense",127230
"Trifolium campestre",127259
"Trifolium dubium",127294
"Trifolium fragiferum",127314
"Trifolium pratense",127439
"Trifolium repens",127454
"Tripleurospermum inodorum",127613
"Trisetum flavescens",127660
"Tussilago farfara",128042
"Typha latifolia",128077
"Urtica dioica",128268
"Verbascum nigrum",128615
"Verbena officinalis",128754
"Veronica agrestis",128786
"Veronica arvensis",128801
"Veronica chamaedrys",128832
"Veronica serpyllifolia",129003
"Veronica spicata",129007
"Viburnum opulus",129087
"Vicia cracca",129147
"Vicia hirsuta",129191
"Vicia lathyroides",129207
"Vicia lutea",129225
"Vicia sativa",129298
"Viscia sativa",129298
"Vicia segetalis",129302
"Vicia sepium",129305
"Vicia tetrasperma",129325
"Vulpia bromoides",129997
"Vulpia ciliata",129999
"Vulpia myuros",130028
"Agropyron repens subsp. junceum",130907
"Bromus erectus subsp. erectus",132249
"Bromus hordeaceus subsp. hordeaceus",132258
"Bromus mollis subsp. thominei",132284
"Cerastium fontanum subsp. vulgare",133108
"Erythraea centaurium subsp. latifolia",134335
"Galium verum subsp. verum",134957
"Medicago sativa subsp. glomerata x Medicago sativa subsp. sativa",137672
"Medicago sativa subsp. sativa",137673
"Silene latifolia subsp. alba",141165
"Polygonum persicaria var. incanum",149947
"Festuca arundinacea proles mediterranea",153175
"Elymus repens subsp. repens",159500
"Lampsana communis",161041
"Apiaceae",187226
"Caryophyllaceae",187285
"Poaceae",187444
"Acer",188731
"Agrimonia",188897
"Agrostis",188909
"Allium",188971
"ambroisie ",189037
"Aster",189558
"Brachypodium",190021
"Bromus",190057
"cardamine",190341
"Carduus",190352
"Carex",190355
"Laiche",190355
"Laîche",190355
"Centaurea",190443
"Cerastium",190485
"Cirsium",190854
"Convolvulus",191107
"Crataegus",191232
"Crepis",191251
"Epilobium",192232
"Epilobium sp.",192232
"Equisetum",192258
"Erodium",192318
"Euphorbia",192419
"Festuca",192551
"Galium",192690
"Geranium",192773
"geranium ",192773
"Hedera",193114
"Hieracium",193276
"Hypericum",193498
"juncus ",193689
"Lamium",193822
"Lolium",194257
"Medicago",194515
"Mentha",194615
"Myosotis",195001
"myosotis sp.",195001
"Ononis",195452
"Ornithopus",195539
"ornithupus",195539
"Oxalis",195604
"Papaver",195739
"Poa",196467
"poa sp",196467
"Polygonum",196532
"Potentilla",196618
"Primula",196635
"Prunus",196709
"Prunus sp.",196709
"pyracantha",196966
"Ranunculus",197047
"Rosa",197264
"rosa sp.",197264
"Rubus",197281
"Rumex",197284
"Securigera",197562
"Senecio",197585
"Sonchus",197758
"Thymus",198449
"Torilis",198509
"Trifolium",198631
"Veronica",198883
"Vicia",198902
"vicia sp.",198902
"Viscia sp",198902
"Viola",198911
"Gramineae",453990
"Jacobaea vulgaris",610646
"Lysimachia arvensis",610909
"Agrimonia eupatoria var. grandis",618679
"bryophyte ",705222
"Pilosella",715557
"piloselle",715557
"Helictochloa pratensis",717224
"Schedonorus arundinaceus",717533
"Schedonorus arundinaceus ? ",717533
"Barbarea vulgaris",761965
